step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error,ideal_tmp,actual_tmp,IND
64,10:08:04,634,10076,16131,16412,10331,114,CW,361.683,362.5782356,0.895235598,-60,-31.91691667,14754
0,10:08:07,199,10040,16072,16357,10297,114,CCW,363.474,362.6146898,-0.859310234,-60,-31.9932,14755
1,10:08:07,-592,10341,16389,16068,10017,114,CCW,358.146,357.1843171,-0.961682873,-60,-31.9932,14756
2,10:08:07,-629,10692,16677,15739,9735,114,CCW,352.485,351.4508552,-1.03414476,-60,-31.9932,14757
3,10:08:08,-637,11066,16931,15377,9491,114,CCW,346.752,345.7103559,-1.041644123,-60,-32.06948333,14758
4,10:08:08,-618,11426,17127,14979,9277,114,CCW,341.19,340.1393107,-1.050689333,-60,-32.06948333,14759
5,10:08:08,-638,11849,17322,14591,9106,114,CCW,335.448,334.3913217,-1.056678275,-60,-32.06948333,14760
6,10:08:08,-627,12243,17431,14163,8959,114,CCW,329.805,328.8202817,-0.9847183,-60,-32.06948333,14761
7,10:08:09,-630,12679,17549,13752,8881,114,CCW,324.135,323.1920234,-0.942976631,-60,-32.14576667,14762
8,10:08:09,-622,13093,17597,13325,8832,114,CCW,318.537,317.6996521,-0.837347858,-60,-32.22205,14763
9,10:08:09,-618,13515,17593,12907,8818,114,CCW,312.975,312.2328085,-0.742191459,-60,-32.52718333,14764
10,10:08:10,-637,13947,17556,12477,8860,114,CCW,307.242,306.5781762,-0.663823811,-60,-32.52718333,14765
11,10:08:10,-629,14365,17494,12059,8951,114,CCW,301.581,301.0086475,-0.572352462,-60,-32.52718333,14766
12,10:08:10,-634,14778,17364,11648,9071,114,CCW,295.875,295.3436765,-0.531323487,-60,-32.60346667,14767
13,10:08:10,-625,15176,17197,11262,9234,114,CCW,290.25,289.724603,-0.525396956,-60,-32.60346667,14768
14,10:08:11,-638,15559,17001,10877,9451,114,CCW,284.508,283.9443019,-0.563698111,-60,-32.60346667,14769
15,10:08:11,-627,15904,16752,10520,9691,114,CCW,278.865,278.2547577,-0.610242284,-60,-32.67975,14770
16,10:08:11,-624,16177,16414,10159,9925,114,CCW,273.249,272.5548883,-0.694111685,-60,-32.67975,14771
17,10:08:12,-620,16532,16182,9897,10268,114,CCW,267.669,266.923133,-0.745867001,-60,-32.67975,14772
18,10:08:12,-626,16791,15847,9621,10599,114,CCW,262.035,261.2248789,-0.810121138,-60,-32.75603333,14773
19,10:08:12,-643,17045,15485,9391,10964,114,CCW,256.248,255.4073325,-0.840667459,-60,-32.75603333,14774
20,10:08:13,-625,17244,15105,9191,11340,114,CCW,250.623,249.7293052,-0.893694751,-60,-32.75603333,14775
21,10:08:13,-640,17397,14704,9021,11748,114,CCW,244.863,243.9623361,-0.900663886,-60,-32.75603333,14776
22,10:08:13,-623,17518,14304,8913,12155,114,CCW,239.256,238.4285809,-0.827419067,-60,-32.83231667,14777
23,10:08:13,-625,17591,13874,8834,12566,114,CCW,233.631,232.8120013,-0.818998737,-60,-32.83231667,14778
24,10:08:14,-626,17626,13459,8799,13000,114,CCW,227.997,227.2370339,-0.759966054,-60,-32.83231667,14779
25,10:08:14,-624,17610,13033,8810,13422,114,CCW,222.381,221.7076697,-0.673330257,-60,-32.9086,14780
26,10:08:14,-628,17562,12607,8872,13844,114,CCW,216.729,216.150915,-0.578085007,-60,-32.9086,14781
27,10:08:15,-618,17454,12189,8959,14252,114,CCW,211.167,210.6504831,-0.516516868,-60,-32.9086,14782
28,10:08:15,-629,17311,11784,9097,14675,114,CCW,205.506,204.9938889,-0.512111136,-60,-32.9086,14783
29,10:08:15,-632,17139,11387,9283,15068,114,CCW,199.818,199.3916141,-0.426385903,-60,-32.98488333,14784
30,10:08:15,-635,16928,11002,9509,15455,114,CCW,194.103,193.6677824,-0.43521761,-60,-32.98488333,14785
31,10:08:16,-614,16668,10646,9752,15810,114,CCW,188.577,188.0541525,-0.52284747,-60,-32.98488333,14786
32,10:08:16,-621,16392,10316,10040,16147,114,CCW,182.988,182.4265247,-0.561475344,-60,-33.06116667,14787
33,10:08:16,-614,16074,10001,10350,16438,114,CCW,177.462,176.8050023,-0.656997703,-60,-33.06116667,14788
34,10:08:17,-629,15734,9724,10693,16726,114,CCW,171.801,171.096847,-0.704153038,-60,-33.06116667,14789
35,10:08:17,-633,15359,9474,11060,16975,114,CCW,166.104,165.3412918,-0.762708157,-60,-33.13745,14790
36,10:08:17,-606,14986,9261,11442,17174,114,CCW,160.65,159.8054691,-0.844530919,-60,-33.13745,14791
37,10:08:18,-635,14587,9084,11856,17356,114,CCW,154.935,154.0889662,-0.846033785,-60,-33.13745,14792
38,10:08:18,-623,14165,8953,12266,17494,114,CCW,149.328,148.4629815,-0.865018498,-60,-33.13745,14793
39,10:08:18,-622,13734,8857,12688,17569,114,CCW,143.73,142.8519672,-0.87803275,-60,-33.21373333,14794
40,10:08:18,-613,13319,8806,13113,17610,114,CCW,138.213,137.3890237,-0.823976311,-60,-33.21373333,14795
41,10:08:19,-609,12864,8781,13498,17578,114,CCW,132.732,131.9357731,-0.796226881,-60,-33.21373333,14796
42,10:08:19,-629,12465,8841,13957,17579,114,CCW,127.071,126.3431789,-0.727821124,-60,-33.29001667,14797
43,10:08:19,-621,12048,8916,14379,17488,114,CCW,121.482,120.7610584,-0.720941593,-60,-33.29001667,14798
44,10:08:20,-622,11636,9045,14795,17366,114,CCW,115.884,115.0926988,-0.79130115,-60,-33.29001667,14799
45,10:08:20,-622,11239,9207,15171,17200,114,CCW,110.286,109.5701556,-0.715844394,-60,-33.29001667,14800
46,10:08:20,-631,10864,9411,15557,16987,114,CCW,104.607,103.8419791,-0.765020939,-60,-33.3663,14801
47,10:08:20,-619,10517,9650,15917,16748,114,CCW,99.036,98.19330836,-0.842691643,-60,-33.3663,14802
48,10:08:21,-615,10181,9920,16230,16472,114,CCW,93.501,92.56898803,-0.932011975,-60,-33.3663,14803
49,10:08:21,-616,9884,10221,16528,16170,114,CCW,87.957,86.94553494,-1.011465058,-60,-33.44258333,14804
50,10:08:21,-618,9623,10546,16802,15835,114,CCW,82.395,81.30681611,-1.088183889,-60,-33.44258333,14805
51,10:08:22,-636,9382,10911,17036,15475,114,CCW,76.671,75.56060287,-1.110397134,-60,-33.44258333,14806
52,10:08:22,-615,9182,11287,17230,15103,114,CCW,71.136,69.96750217,-1.168497831,-60,-33.51886667,14807
53,10:08:22,-634,9026,11681,17395,14691,114,CCW,65.43,64.2440432,-1.185956801,-60,-33.51886667,14808
54,10:08:23,-619,8910,12089,17516,14293,114,CCW,59.859,58.72015959,-1.13884041,-60,-33.51886667,14809
55,10:08:23,-623,8830,12517,17588,13879,114,CCW,54.252,53.11607476,-1.13592524,-60,-33.51886667,14810
56,10:08:23,-616,8801,12932,17622,13453,114,CCW,48.708,47.61153556,-1.096464443,-60,-33.59515,14811
57,10:08:23,-621,8817,13353,17614,13027,114,CCW,43.119,42.09809752,-1.020902484,-60,-33.59515,14812
58,10:08:24,-626,8865,13777,17554,12609,114,CCW,37.485,36.58865141,-0.896348587,-60,-33.59515,14813
59,10:08:24,-616,8956,14189,17453,12195,114,CCW,31.941,31.09670293,-0.844297067,-60,-33.67143333,14814
60,10:08:24,-633,9105,14609,17327,11781,114,CCW,26.244,25.41778351,-0.826216486,-60,-33.67143333,14815
61,10:08:25,-625,9281,15005,17141,11388,114,CCW,20.619,19.81315844,-0.805841561,-60,-33.67143333,14816
62,10:08:25,-636,9502,15399,16921,11010,114,CCW,14.895,14.07166744,-0.823332564,-60,-33.67143333,14817
63,10:08:25,-623,9758,15756,16680,10651,114,CCW,9.288,8.444532334,-0.843467666,-60,-33.74771667,14818
64,10:08:26,-619,10022,16056,16366,10298,114,CCW,3.717,2.813593735,-0.903406265,-60,-33.74771667,14819
0,10:08:30,209,10061,16129,16410,10332,115,CW,1.881,2.625949961,0.744949961,-60,-33.74771667,14820
1,10:08:31,584,9803,15826,16719,10666,115,CW,7.137,8.11193735,0.97493735,-60,-33.824,14821
2,10:08:31,620,9555,15471,16977,11021,115,CW,12.717,13.71675648,0.999756481,-60,-33.824,14822
3,10:08:31,628,9327,15093,17193,11409,115,CW,18.369,19.40840108,1.039401077,-60,-33.824,14823
4,10:08:32,625,9141,14686,17367,11792,115,CW,23.994,24.99269164,0.998691638,-60,-33.824,14824
5,10:08:32,639,9006,14272,17524,12209,115,CW,29.745,30.66090006,0.915900056,-60,-33.90065,14825
6,10:08:32,610,8900,13851,17613,12628,115,CW,35.235,36.22134191,0.986341907,-60,-33.90065,14826
7,10:08:32,637,8840,13421,17671,13061,115,CW,40.968,41.84855836,0.880558358,-60,-33.90065,14827
8,10:08:33,625,8835,12999,17701,13489,115,CW,46.593,47.35418274,0.761182735,-60,-33.90065,14828
9,10:08:33,619,8858,12571,17659,13909,115,CW,52.164,52.87775098,0.71375098,-60,-33.9773,14829
10,10:08:33,613,8928,12164,17586,14326,115,CW,57.681,58.32807656,0.647076564,-60,-34.20725,14830
11,10:08:34,619,9047,11750,17474,14726,115,CW,63.252,63.86268153,0.610681529,-60,-34.20725,14831
12,10:08:34,629,9207,11348,17323,15134,115,CW,68.913,69.55447734,0.641477343,-60,-34.20725,14832
13,10:08:34,626,9381,10954,17085,15486,115,CW,74.547,75.16607998,0.619079984,-60,-34.2839,14833
14,10:08:34,625,9636,10606,16880,15878,115,CW,80.172,80.91816033,0.746160328,-60,-34.2839,14834
15,10:08:35,621,9911,10279,16629,16216,115,CW,85.761,86.51722775,0.756227754,-60,-34.2839,14835
16,10:08:35,625,10200,9968,16314,16522,115,CW,91.386,92.2199538,0.833953799,-60,-34.2839,14836
17,10:08:35,618,10526,9698,15989,16803,115,CW,96.948,97.84895811,0.900958112,-60,-34.36055,14837
18,10:08:36,619,10883,9454,15645,17042,115,CW,102.519,103.4571358,0.938135757,-60,-34.36055,14838
19,10:08:36,618,11263,9250,15271,17261,115,CW,108.081,109.136078,1.055077979,-60,-34.36055,14839
20,10:08:36,618,11645,9084,14872,17426,115,CW,113.643,114.6881138,1.045113759,-60,-34.4372,14840
21,10:08:37,634,12066,8956,14471,17564,115,CW,119.349,120.3216758,0.972675836,-60,-34.4372,14841
22,10:08:37,616,12492,8874,14055,17653,115,CW,124.893,125.8992492,1.006249207,-60,-34.4372,14842
23,10:08:37,635,12903,8826,13599,17682,115,CW,130.608,131.5296013,0.921601342,-60,-34.4372,14843
24,10:08:37,614,13344,8836,13188,17695,115,CW,136.134,137.0258702,0.891870232,-60,-34.51385,14844
25,10:08:38,614,13777,8878,12766,17650,115,CW,141.66,142.5506902,0.890690196,-60,-34.51385,14845
26,10:08:38,612,14191,8973,12341,17571,115,CW,147.168,148.0454141,0.877414071,-60,-34.51385,14846
27,10:08:38,629,14610,9108,11923,17448,115,CW,152.829,153.6538257,0.824825686,-60,-34.5905,14847
28,10:08:39,622,15024,9278,11519,17270,115,CW,158.427,159.3399798,0.912979803,-60,-34.5905,14848
29,10:08:39,619,15409,9486,11132,17065,115,CW,163.998,164.9398438,0.941843796,-60,-34.5905,14849
30,10:08:39,626,15780,9741,10753,16825,115,CW,169.632,170.6861145,1.054114488,-60,-34.66715,14850
31,10:08:39,627,16121,10016,10412,16542,115,CW,175.275,176.3223004,1.04730044,-60,-34.66715,14851
32,10:08:40,629,16448,10327,10093,16230,115,CW,180.936,182.0665836,1.130583556,-60,-34.66715,14852
33,10:08:40,614,16731,10665,9803,15906,115,CW,186.462,187.6706579,1.20865787,-60,-34.66715,14853
34,10:08:40,617,16978,11018,9548,15546,115,CW,192.015,193.2561797,1.24117974,-60,-34.7438,14854
35,10:08:41,625,17218,11403,9332,15164,115,CW,197.64,198.9719545,1.331954518,-60,-34.7438,14855
36,10:08:41,628,17395,11806,9146,14770,115,CW,203.292,204.5882303,1.296230269,-60,-34.7438,14856
37,10:08:41,639,17526,12219,8990,14344,115,CW,209.043,210.2857564,1.242756443,-60,-34.82045,14857
38,10:08:42,611,17631,12634,8898,13923,115,CW,214.542,215.8176073,1.275607298,-60,-34.82045,14858
39,10:08:42,639,17701,13067,8844,13494,115,CW,220.293,221.4374616,1.14446156,-60,-34.82045,14859
40,10:08:42,630,17701,13494,8821,13065,115,CW,225.963,226.9831229,1.020122898,-60,-34.82045,14860
41,10:08:42,622,17679,13929,8860,12644,115,CW,231.561,232.5622,1.001199999,-60,-34.8971,14861
42,10:08:43,617,17605,14329,8930,12218,115,CW,237.114,238.0345908,0.920590841,-60,-34.8971,14862
43,10:08:43,625,17488,14741,9042,11812,115,CW,242.739,243.6005983,0.861598342,-60,-34.8971,14863
44,10:08:43,632,17325,15148,9199,11409,115,CW,248.427,249.3293816,0.902381558,-60,-34.97375,14864
45,10:08:44,633,17134,15526,9404,11025,115,CW,254.124,254.9979438,0.873943798,-60,-34.97375,14865
46,10:08:44,636,16901,15902,9645,10659,115,CW,259.848,260.823144,0.97514403,-60,-34.97375,14866
47,10:08:44,624,16629,16236,9905,10331,115,CW,265.464,266.4489648,0.984964773,-60,-35.0504,14867
48,10:08:44,630,16244,16453,10157,9957,115,CW,271.134,272.2143036,1.080303617,-60,-35.0504,14868
49,10:08:45,623,16006,16815,10546,9730,115,CW,276.741,277.9176525,1.176652546,-60,-35.0504,14869
50,10:08:45,623,15640,17058,10888,9489,115,CW,282.348,283.5862564,1.238256421,-60,-35.0504,14870
51,10:08:45,631,15258,17267,11266,9277,115,CW,288.027,289.3131318,1.286131797,-60,-35.12705,14871
52,10:08:46,622,14880,17436,11668,9107,115,CW,293.625,294.8971566,1.272156636,-60,-35.12705,14872
53,10:08:46,640,14463,17562,12081,8978,115,CW,299.385,300.5742416,1.189241632,-60,-35.12705,14873
54,10:08:46,625,14031,17641,12491,8891,115,CW,305.01,306.1642889,1.154288852,-60,-35.2037,14874
55,10:08:47,641,13595,17680,12928,8842,115,CW,310.779,311.857832,1.078831973,-60,-35.2037,14875
56,10:08:47,624,13173,17673,13356,8846,115,CW,316.395,317.3519659,0.956965906,-60,-35.2037,14876
57,10:08:47,622,12748,17636,13782,8899,115,CW,321.993,322.8683633,0.875363342,-60,-35.2037,14877
58,10:08:47,622,12322,17537,14198,8982,115,CW,327.591,328.4071889,0.816188897,-60,-35.28035,14878
59,10:08:48,630,11921,17412,14630,9116,115,CW,333.261,334.0089412,0.747941216,-60,-35.28035,14879
60,10:08:48,632,11507,17238,15031,9292,115,CW,338.949,339.6968419,0.747841915,-60,-35.28035,14880
61,10:08:48,621,11116,17025,15405,9496,115,CW,344.538,345.2826177,0.744617688,-60,-35.357,14881
62,10:08:49,635,10752,16774,15791,9744,115,CW,350.253,351.0572523,0.804252333,-60,-35.357,14882
63,10:08:49,629,10410,16488,16130,10022,115,CW,355.914,356.7261028,0.812102805,-60,-35.357,14883
64,10:08:50,633,10069,16156,16421,10321,115,CW,361.611,362.4586135,0.847613526,-60,-35.43365,14884
0,10:08:53,197,10034,16100,16381,10294,115,CCW,363.384,362.5744528,-0.809547177,-60,-35.43365,14885
1,10:08:53,-592,10336,16414,16089,10008,115,CCW,358.056,357.1407746,-0.915225443,-60,-35.43365,14886
2,10:08:53,-626,10684,16695,15750,9721,115,CCW,352.422,351.4082548,-1.013745215,-60,-35.43365,14887
3,10:08:53,-641,11057,16949,15384,9475,115,CCW,346.653,345.6702679,-0.982732133,-60,-35.5103,14888
4,10:08:54,-609,11426,17158,15000,9269,115,CCW,341.172,340.1399265,-1.032073497,-60,-35.5103,14889
5,10:08:54,-645,11841,17339,14594,9089,115,CCW,335.367,334.3703892,-0.996610776,-60,-35.5103,14890
6,10:08:54,-625,12244,17446,14166,8939,115,CCW,329.742,328.7638969,-0.978103087,-60,-35.58695,14891
7,10:08:55,-631,12680,17573,13759,8869,115,CCW,324.063,323.1822112,-0.880788812,-60,-35.58695,14892
8,10:08:55,-623,13100,17625,13332,8818,115,CCW,318.456,317.671754,-0.784246011,-60,-35.58695,14893
9,10:08:55,-617,13523,17617,12907,8803,115,CCW,312.903,312.1765524,-0.726447552,-60,-35.6636,14894
10,10:08:56,-637,13954,17581,12477,8845,115,CCW,307.17,306.5531153,-0.616884709,-60,-35.9702,14895
11,10:08:56,-629,14377,17512,12058,8935,115,CCW,301.509,300.9592477,-0.549752318,-60,-36.04685,14896
12,10:08:56,-628,14788,17383,11646,9059,115,CCW,295.857,295.3146284,-0.542371564,-60,-36.04685,14897
13,10:08:56,-630,15188,17222,11259,9222,115,CCW,290.187,289.7141428,-0.472857163,-60,-36.04685,14898
14,10:08:57,-639,15572,17019,10872,9436,115,CCW,284.436,283.9267305,-0.509269495,-60,-36.1235,14899
15,10:08:57,-627,15919,16773,10509,9678,115,CCW,278.793,278.2208566,-0.572143431,-60,-36.1235,14900
16,10:08:57,-624,16198,16437,10150,9915,115,CCW,273.177,272.5223893,-0.654610705,-60,-36.1235,14901
17,10:08:58,-616,16560,16199,9893,10260,115,CCW,267.633,266.868479,-0.76452099,-60,-36.1235,14902
18,10:08:58,-629,16822,15873,9616,10597,115,CCW,261.972,261.1949394,-0.777060648,-60,-36.20015,14903
19,10:08:58,-643,17060,15502,9376,10959,115,CCW,256.185,255.3917132,-0.793286848,-60,-36.20015,14904
20,10:08:58,-626,17258,15114,9175,11327,115,CCW,250.551,249.7360114,-0.814988623,-60,-36.20015,14905
21,10:08:59,-639,17423,14715,9011,11744,115,CCW,244.8,243.9349263,-0.865073664,-60,-36.2768,14906
22,10:08:59,-623,17532,14305,8889,12150,115,CCW,239.193,238.3644431,-0.828556883,-60,-36.2768,14907
23,10:08:59,-629,17614,13883,8821,12573,115,CCW,233.532,232.7482667,-0.783733289,-60,-36.2768,14908
24,10:09:00,-624,17654,13466,8790,13002,115,CCW,227.916,227.215387,-0.700613047,-60,-36.2768,14909
25,10:09:00,-620,17631,13041,8793,13427,115,CCW,222.336,221.6969219,-0.639078137,-60,-36.35345,14910
26,10:09:00,-632,17583,12614,8854,13856,115,CCW,216.648,216.1141924,-0.533807561,-60,-36.35345,14911
27,10:09:01,-617,17479,12185,8945,14256,115,CCW,211.095,210.6204143,-0.474585702,-60,-36.35345,14912
28,10:09:01,-627,17349,11780,9090,14689,115,CCW,205.452,204.9426305,-0.509369526,-60,-36.4301,14913
29,10:09:01,-636,17159,11386,9269,15089,115,CCW,199.728,199.3193171,-0.408682857,-60,-36.4301,14914
30,10:09:01,-634,16938,10991,9494,15465,115,CCW,194.022,193.5989875,-0.423012457,-60,-36.4301,14915
31,10:09:02,-609,16688,10633,9742,15820,115,CCW,188.541,188.016444,-0.524555979,-60,-36.50675,14916
32,10:09:02,-626,16403,10306,10025,16162,115,CCW,182.907,182.3875871,-0.519412869,-60,-36.50675,14917
33,10:09:02,-620,16092,9994,10345,16465,115,CCW,177.327,176.7376709,-0.589329067,-60,-36.50675,14918
34,10:09:03,-619,15753,9712,10693,16743,115,CCW,171.756,171.055065,-0.700935049,-60,-36.50675,14919
35,10:09:03,-635,15368,9455,11052,16988,115,CCW,166.041,165.3023009,-0.73869911,-60,-36.5834,14920
36,10:09:03,-606,14994,9254,11435,17204,115,CCW,160.587,159.7649567,-0.822043338,-60,-36.5834,14921
37,10:09:03,-637,14590,9070,11854,17374,115,CCW,154.854,154.0236265,-0.830373514,-60,-36.5834,14922
38,10:09:04,-621,14176,8935,12267,17506,115,CCW,149.265,148.4520379,-0.812962099,-60,-36.66005,14923
39,10:09:04,-623,13737,8841,12684,17594,115,CCW,143.658,142.8328903,-0.825109726,-60,-36.66005,14924
40,10:09:04,-614,13323,8799,13120,17646,115,CCW,138.132,137.3300647,-0.801935285,-60,-36.66005,14925
41,10:09:05,-608,12873,8766,13510,17597,115,CCW,132.66,131.8979794,-0.762020628,-60,-36.66005,14926
42,10:09:05,-631,12466,8824,13966,17600,115,CCW,126.981,126.2981333,-0.682866679,-60,-36.7367,14927
43,10:09:05,-619,12041,8906,14381,17514,115,CCW,121.41,120.7293261,-0.680673894,-60,-36.7367,14928
44,10:09:06,-626,11638,9028,14807,17386,115,CCW,115.776,115.0793693,-0.696630723,-60,-36.7367,14929
45,10:09:06,-616,11248,9195,15198,17225,115,CCW,110.232,109.5319855,-0.700014538,-60,-36.81335,14930
46,10:09:06,-632,10856,9403,15571,17016,115,CCW,104.544,103.8064826,-0.737517358,-60,-36.81335,14931
47,10:09:06,-619,10501,9638,15924,16763,115,CCW,98.973,98.13855495,-0.834445055,-60,-36.81335,14932
48,10:09:07,-621,10181,9908,16257,16487,115,CCW,93.384,92.51615794,-0.867842058,-60,-36.89,14933
49,10:09:07,-611,9877,10210,16548,16190,115,CCW,87.885,86.93566972,-0.949330282,-60,-36.89,14934
50,10:09:07,-619,9602,10541,16811,15853,115,CCW,82.314,81.26769784,-1.04630216,-60,-36.89,14935
51,10:09:08,-633,9371,10900,17057,15484,115,CCW,76.617,75.52181068,-1.09518932,-60,-36.89,14936
52,10:09:08,-617,9175,11281,17258,15111,115,CCW,71.064,69.90832308,-1.155676923,-60,-36.96665,14937
53,10:09:08,-635,9004,11682,17410,14709,115,CCW,65.349,64.22366544,-1.125334556,-60,-36.96665,14938
54,10:09:08,-618,8894,12089,17535,14300,115,CCW,59.787,58.66546801,-1.121531995,-60,-36.96665,14939
55,10:09:09,-620,8816,12501,17611,13875,115,CCW,54.207,53.11521607,-1.091783926,-60,-37.0433,14940
56,10:09:09,-618,8781,12932,17638,13458,115,CCW,48.645,47.59061719,-1.054382814,-60,-37.0433,14941
57,10:09:09,-622,8793,13363,17630,13034,115,CCW,43.047,42.05049635,-0.996503651,-60,-37.0433,14942
58,10:09:10,-626,8854,13783,17585,12607,115,CCW,37.413,36.53773856,-0.875261438,-60,-37.0433,14943
59,10:09:10,-616,8949,14196,17481,12193,115,CCW,31.869,31.05797756,-0.811022441,-60,-37.11995,14944
60,10:09:10,-632,9082,14619,17335,11781,115,CCW,26.181,25.39025251,-0.790747495,-60,-37.11995,14945
61,10:09:11,-626,9267,15019,17165,11382,115,CCW,20.547,19.76910858,-0.777891416,-60,-37.11995,14946
62,10:09:11,-637,9488,15403,16942,10993,115,CCW,14.814,14.04286655,-0.771133448,-60,-37.1966,14947
63,10:09:11,-621,9741,15771,16691,10645,115,CCW,9.225,8.417596955,-0.807403045,-60,-37.1966,14948
64,10:09:12,-618,10006,16079,16380,10292,115,CCW,3.663,2.781844647,-0.881155353,-60,-37.1966,14949
0,10:09:16,210,10059,16140,16434,10313,116,CW,1.89,2.632395296,0.742395296,-60,-37.27325,14950
1,10:09:17,585,9786,15841,16729,10657,116,CW,7.155,8.131795946,0.976795946,-60,-37.27325,14951
2,10:09:17,619,9535,15490,16988,11017,116,CW,12.726,13.73566789,1.009667886,-60,-37.27325,14952
3,10:09:17,629,9319,15099,17216,11397,116,CW,18.387,19.4346986,1.047698597,-60,-37.27325,14953
4,10:09:17,624,9131,14699,17397,11794,116,CW,24.003,25.06072847,1.057728471,-60,-37.3499,14954
5,10:09:18,639,8983,14285,17539,12217,116,CW,29.754,30.73915387,0.985153867,-60,-37.3499,14955
6,10:09:18,610,8888,13864,17644,12629,116,CW,35.244,36.23743626,0.993436264,-60,-37.3499,14956
7,10:09:18,636,8833,13427,17705,13061,116,CW,40.968,41.87624442,0.908244416,-60,-37.42655,14957
8,10:09:19,624,8816,13002,17715,13497,116,CW,46.584,47.43108627,0.847086273,-60,-37.42655,14958
9,10:09:19,621,8844,12578,17685,13918,116,CW,52.173,52.90835997,0.735359969,-60,-37.5032,14959
10,10:09:19,608,8919,12159,17617,14326,116,CW,57.645,58.35313327,0.708133274,-60,-37.73315,14960
11,10:09:20,620,9032,11749,17497,14746,116,CW,63.225,63.96502903,0.740029026,-60,-37.73315,14961
12,10:09:20,632,9187,11347,17333,15149,116,CW,68.913,69.62082724,0.707827236,-60,-37.73315,14962
13,10:09:20,625,9386,10958,17137,15520,116,CW,74.538,75.23233072,0.694330715,-60,-37.73315,14963
14,10:09:20,628,9621,10596,16897,15890,116,CW,80.19,80.96223729,0.772237291,-60,-37.8098,14964
15,10:09:21,618,9886,10271,16631,16232,116,CW,85.752,86.56674976,0.814749756,-60,-37.8098,14965
16,10:09:21,628,10190,9955,16331,16537,116,CW,91.404,92.26242579,0.858425788,-60,-37.8098,14966
17,10:09:21,616,10523,9678,16008,16813,116,CW,96.948,97.89913458,0.951134577,-60,-37.88645,14967
18,10:09:22,619,10865,9440,15646,17061,116,CW,102.519,103.5093824,0.990382422,-60,-37.88645,14968
19,10:09:22,618,11250,9238,15279,17280,116,CW,108.081,109.1452004,1.06420042,-60,-37.88645,14969
20,10:09:22,619,11647,9065,14888,17440,116,CW,113.652,114.7206056,1.068605629,-60,-37.9631,14970
21,10:09:22,630,12057,8937,14468,17575,116,CW,119.322,120.3757603,1.053760283,-60,-37.9631,14971
22,10:09:23,621,12471,8852,14043,17664,116,CW,124.911,125.9184627,1.007462736,-60,-37.9631,14972
23,10:09:23,633,12904,8803,13603,17693,116,CW,130.608,131.566976,0.958976013,-60,-37.9631,14973
24,10:09:23,613,13350,8818,13195,17717,116,CW,136.125,137.0554232,0.930423235,-60,-38.03975,14974
25,10:09:24,617,13770,8865,12755,17672,116,CW,141.678,142.5924502,0.914450234,-60,-38.03975,14975
26,10:09:24,615,14199,8954,12341,17591,116,CW,147.213,148.0870286,0.874028624,-60,-38.03975,14976
27,10:09:24,621,14614,9081,11917,17447,116,CW,152.802,153.710245,0.908244984,-60,-38.1164,14977
28,10:09:25,624,15026,9264,11505,17289,116,CW,158.418,159.3985387,0.980538712,-60,-38.1164,14978
29,10:09:25,620,15408,9472,11119,17083,116,CW,163.998,164.9591215,0.961121452,-60,-38.1164,14979
30,10:09:25,629,15788,9718,10746,16825,116,CW,169.659,170.7356777,1.076677657,-60,-38.1164,14980
31,10:09:25,625,16139,10003,10400,16554,116,CW,175.284,176.421342,1.137341962,-60,-38.19305,14981
32,10:09:26,628,16446,10317,10071,16242,116,CW,180.936,182.1141196,1.178119567,-60,-38.19305,14982
33,10:09:26,614,16741,10650,9791,15907,116,CW,186.462,187.7406873,1.278687345,-60,-38.19305,14983
34,10:09:26,616,16998,11006,9537,15551,116,CW,192.006,193.336158,1.330158038,-60,-38.2697,14984
35,10:09:27,627,17225,11399,9310,15176,116,CW,197.649,199.0315644,1.382564406,-60,-38.2697,14985
36,10:09:27,637,17406,11797,9126,14766,116,CW,203.382,204.6991766,1.317176605,-60,-38.2697,14986
37,10:09:27,633,17550,12214,8978,14337,116,CW,209.079,210.4291487,1.350148728,-60,-38.34635,14987
38,10:09:27,615,17651,12640,8878,13927,116,CW,214.614,215.9435106,1.329510573,-60,-38.34635,14988
39,10:09:28,637,17701,13071,8815,13488,116,CW,220.347,221.5862396,1.239239588,-60,-38.34635,14989
40,10:09:28,630,17734,13502,8812,13059,116,CW,226.017,227.134707,1.117707027,-60,-38.34635,14990
41,10:09:28,620,17703,13925,8841,12638,116,CW,231.597,232.6074684,1.010468376,-60,-38.423,14991
42,10:09:29,620,17617,14350,8909,12217,116,CW,237.177,238.1931265,1.016126508,-60,-38.423,14992
43,10:09:29,626,17504,14755,9029,11800,116,CW,242.811,243.76609,0.95509005,-60,-38.423,14993
44,10:09:29,634,17349,15159,9196,11395,116,CW,248.517,249.4675845,0.950584527,-60,-38.423,14994
45,10:09:30,628,17148,15543,9386,11015,116,CW,254.169,255.1044741,0.935474118,-60,-38.47628333,14995
46,10:09:30,637,16898,15909,9626,10644,116,CW,259.902,260.9332791,1.03127912,-60,-38.47628333,14996
47,10:09:30,622,16637,16240,9899,10301,116,CW,265.5,266.6060443,1.106044283,-60,-38.47628333,14997
48,10:09:30,633,16253,16470,10147,9942,116,CW,271.197,272.3119227,1.114922669,-60,-38.47628333,14998
