cycle,encoder_error_cw,encoder_error_ccw
3181,16775034.0,16775032.0
3182,16775023.0,16775028.0
3183,16775030.0,16775029.0
3184,16775022.0,16775022.0
3185,16775021.0,16775026.0
3186,16775020.0,16775019.0
3187,16775024.0,16775029.0
3188,16775021.0,16775019.0
3189,16775023.0,16775026.0
3190,16775021.0,16775019.0
3191,16775024.0,16775026.0
3192,16775021.0,16775021.0
3193,16775020.0,16775020.0
3194,16775019.0,16775021.0
3195,16775022.0,16775024.0
3196,16775020.0,16775019.0
3197,16775018.0,16775018.0
3198,16775019.0,16775018.0
3199,16775023.0,16775028.0
3200,16775032.0,16775032.0
3201,16775031.0,16775031.0
3202,16775023.0,16775021.0
3203,16775022.0,16775028.0
3204,16775031.0,16775033.0
3205,16775038.0,16775036.0
3206,16775037.0,16775036.0
3207,16775035.0,16775035.0
3208,16775038.0,16775036.0
3209,16775035.0,16775033.0
3210,16775030.0,16775031.0
3211,16775035.0,16775037.0
3212,16775034.0,16775036.0
3213,16775042.0,16775038.0
3214,16775042.0,16775036.0
3215,16775044.0,16775037.0
3216,16775042.0,16775036.0
3217,16775036.0,16775036.0
3218,16775035.0,16775036.0
3219,16775040.0,16775036.0
3220,16775036.0,16775036.0
3221,16775037.0,16775037.0
3222,16775044.0,16775038.0
3223,16775051.0,16775040.0
3224,16775055.0,16775039.0
3225,16775057.0,16775044.0
3226,16775064.0,16775044.0
3227,16775054.0,16775039.0
3228,16775048.0,16775038.0
3229,16775041.0,16775036.0
3230,16775035.0,16775036.0
3231,16775035.0,16775031.0
3232,16775029.0,16775025.0
3233,16775024.0,16775025.0
3234,16775022.0,16775028.0
3235,16775028.0,16775027.0
3236,16775021.0,16775020.0
3237,16775016.0,16775021.0
3238,16775021.0,16775019.0
3239,16775021.0,16775020.0
3240,16775021.0,16775020.0
3241,16775024.0,16775025.0
3242,16775022.0,16775026.0
3243,16775020.0,16775019.0
3244,16775015.0,16775011.0
3245,16775015.0,16775021.0
3246,16775024.0,16775025.0
3247,16775021.0,16775018.0
3248,16775021.0,16775019.0
3249,16775022.0,16775020.0
3250,16775026.0,16775028.0
3251,16775020.0,16775021.0
3252,16775020.0,16775018.0
3253,16775015.0,16775019.0
3254,16775021.0,16775021.0
3255,16775021.0,16775019.0
3256,16775020.0,16775018.0
3257,16775019.0,16775019.0
3258,16775015.0,16775012.0
3259,16775018.0,16775018.0
3260,16775015.0,16775011.0
3261,16775016.0,16775018.0
3262,16775018.0,16775019.0
3263,16775020.0,16775025.0
3264,16775016.0,16775018.0
3265,16775018.0,16775018.0
3266,16775024.0,16775028.0
3267,16775030.0,16775031.0
3268,16775033.0,16775031.0
3269,16775029.0,16775031.0
3270,16775029.0,16775031.0
3271,16775027.0,16775027.0
3272,16775035.0,16775037.0
3273,16775044.0,16775037.0
3274,16775044.0,16775037.0
3275,16775049.0,16775038.0
3276,16775051.0,16775038.0
3277,16775049.0,16775039.0
3278,16775055.0,16775038.0
3279,16775055.0,16775044.0
3280,16775063.0,16775050.0
3281,16775062.0,16775044.0
3282,16775051.0,16775038.0
3283,16775050.0,16775038.0
3284,16775051.0,16775038.0
3285,16775050.0,16775037.0
3286,16775041.0,16775035.0
3287,16775035.0,16775035.0
3288,16775035.0,16775037.0
3289,16775035.0,16775034.0
3290,16775038.0,16775036.0
3291,16775032.0,16775034.0
3292,16775037.0,16775035.0
3293,16775034.0,16775036.0
3294,16775031.0,16775031.0
3295,16775032.0,16775034.0
3296,16775030.0,16775031.0
3297,16775032.0,16775031.0
3298,16775030.0,16775032.0
3299,16775030.0,16775032.0
3300,16775028.0,16775028.0
3301,16775023.0,16775024.0
3302,16775022.0,16775024.0
3303,16775020.0,16775017.0
3304,16775017.0,16775018.0
