step,timestamp,encoder,SIN_P,COS_P,SIN_N,COS_N,cycle,direction,theta,alpha,angle_error
13,2025-04-16 14:45:34,628,11321,17101,15049,9261,8,CW,73.24199999999999,72.78207155682685,-0.4599284431731405
14,2025-04-16 14:45:35,621,10960,16905,15412,9456,8,CW,78.83099999999999,78.38050612186379,-0.4504938781362
15,2025-04-16 14:45:35,625,10615,16670,15759,9686,8,CW,84.45599999999999,84.06534395622577,-0.39065604377421437
16,2025-04-16 14:45:35,624,10292,16402,16082,9949,8,CW,90.07199999999999,89.77326189417965,-0.298738105820334
17,2025-04-16 14:45:36,633,9988,16103,16387,10248,8,CW,95.76899999999999,95.59527753445764,-0.1737224655423546
18,2025-04-16 14:45:36,625,9723,15779,16653,10570,8,CW,101.39399999999999,101.288763142998,-0.10523685700199792
19,2025-04-16 14:45:36,637,9483,15421,16892,10921,8,CW,107.127,107.09812758463403,-0.028872415365967186
20,2025-04-16 14:45:36,619,9283,15058,17090,11286,8,CW,112.698,112.70746430608085,0.00946430608085791
21,2025-04-16 14:45:37,626,9121,14669,17248,11669,8,CW,118.332,118.33119685800466,-0.0008031419953340446
22,2025-04-16 14:45:37,618,9002,14274,17371,12064,8,CW,123.89399999999999,123.86446379268983,-0.029536207310158602
23,2025-04-16 14:45:37,626,8920,13860,17451,12476,8,CW,129.528,129.4731362632441,-0.05486373675589107
24,2025-04-16 14:45:38,624,8880,13437,17487,12897,8,CW,135.144,135.09264286882274,-0.051357131177269366
25,2025-04-16 14:45:38,617,8887,13023,17481,13309,8,CW,140.697,140.54772609307184,-0.14927390692815834
26,2025-04-16 14:45:38,632,8939,12598,17427,13733,8,CW,146.385,146.17941110738246,-0.2055888926175271
27,2025-04-16 14:45:38,622,9034,12185,17334,14147,8,CW,151.983,151.75069293345928,-0.2323070665407272
28,2025-04-16 14:45:39,632,9170,11775,17195,14557,8,CW,157.671,157.42472836374645,-0.24627163625353887
29,2025-04-16 14:45:39,623,9347,11381,17020,14952,8,CW,163.278,163.08942038297846,-0.18857961702153148
30,2025-04-16 14:45:39,610,9555,11016,16814,15319,8,CW,168.768,168.60260021704096,-0.16539978295904234
